ProductCategoryID,ProductCategoryCode,ParentProductCategoryCode,ProductCategoryName
20375,13706010,13706000,Car-DVD-Spieler
20376,13706020,13706000,Car-Videosysteme
20377,13800000,13000000,Antennen / Steuergeräte
20378,13801000,13800000,Funktions-Steuergeräte
20379,13801010,13801000,CD-Wechsler-Steuergeräte
20380,13801020,13801000,MD-Wechsler-Steuergeräte
20381,13801050,13801000,Multifunkt.-Steuerg./ Fernbedienung
20382,13801060,13801000,Sprachsteuerungs-Geräte
21176,13802000,13800000,Auto-Antennen
20396,13802010,13802000,Autoradio-Antennen
21177,13802020,13802000,Kombi-Antennen
21178,13802030,13802000,Funk-Antennen
21179,13802040,13802000,DAB-Antennen
21180,13802050,13802000,GPS-Antennen
20383,13900000,13000000,Zubehör Car-Multimedia/Navigation
20384,13901000,13900000,Mechanisches Car-Zubehör
20385,13901010,13901000,Autoradio-Einbaurahmen
20386,13901030,13901000,Wechslermagazine
20387,13901040,13901000,Lautsprecher-Einbaurahmen/ -Gehäuse
20388,13901050,13901000,Lautsprecher-Abdeckungen
21443,13901055,13901000,Universal-Halterungen
20389,13901060,13901000,unbestückte Soundboards/Ablage
20390,13901090,13901000,sonstiges mechanisches Zubehör
20391,13902000,13900000,Elektronisches Car-Zubehör
20392,13902010,13902000,Stützkondensatoren
20393,13902015,13902000,Entstörfilter
20394,13902020,13902000,Verbindungskabel
20395,13902030,13902000,Adapter
20397,13902090,13902000,sonstiges elektronisches Zubehör
21181,13903000,13900000,Auto-Antennen Zubehör
21182,13903010,13903000,Antennenstäbe
21183,13903020,13903000,Antennenfüße
21184,13903030,13903000,passive Antennenweiche
21185,13903040,13903000,aktive Antennenweiche
21186,13903050,13903000,Antennen-Verbindungskabel
21187,13903060,13903000,Kfz-spez. Antennenzubehör
21188,13903070,13903000,sonstiges Antennenzubehör
20398,13904000,13900000,Navigationsgeräte-Zubehör
21323,13904015,13904000,Taschen
21324,13904020,13904000,Adapter / Kabel / Stecker
21325,13904030,13904000,Lade-/ Netzteile
21326,13904040,13904000,Halterungen
21327,13904050,13904000,sonstiges Navigationsgeräte-Zubehör
20400,13906000,13900000,Tonträger-Aufbewahrungszubehör
20401,13906010,13906000,Kassetten-Aufbewahrungszubehör
20402,13906020,13906000,CD-Aufbewahrungszubehör
20403,15000000,NULL,Kommunikation / Wearables
20404,15100000,15000000,Stationäre Kommunikation
20405,15101000,15100000,Festnetztelefone
20406,15101010,15101000,Schnurgebunden
20407,15101015,15101000,Schnurgebunden + AB
20408,15101020,15101000,Schnurlos (Set)
20409,15101021,15101000,Schnurlos Solo-Handteil
20410,15101022,15101000,Schnurlos Solo-Basisstation
20411,15101025,15101000,Schnurlos + AB
20412,15101030,15101000,Schnurlos + Schnurgeb.
20413,15101035,15101000,Schnurlos + Schnurgeb. + AB
21379,15101038,15101000,IP-Telefone Schnurlos
21444,15101039,15101000,IP-Telefone Schnurgebunden
21209,15101040,15101000,ISDN-Schnurlos Solo-Basisstation
20414,15101045,15101000,ISDN-Schnurlos (Set)
20415,15101046,15101000,ISDN-Schnurlos Solo-Handteil
21208,15101047,15101000,ISDN-Schnurlos (Set) + AB
21026,15101048,15101000,ISDN-Schnurlos + Schnurgeb.
21027,15101049,15101000,ISDN-Schnurlos + Schnurgeb. + AB
20416,15101050,15101000,Schnurgebundene ISDN-Telefone
20417,15101055,15101000,Schnurgebundene ISDN-Telefone + AB
21704,15101080,15101000,Videokonferenz Endgerät/System
20418,15101090,15101000,System-Telefone für TK-Anlagen
20419,15102000,15100000,Telefonanlagen
20420,15102010,15102000,Analoge TK-Anlagen
20421,15102020,15102000,ISDN TK-Anlagen
21445,15102030,15102000,IP-Telefonanlagen
20422,15103000,15100000,Telefon- / TK-Anlagen-Kombinationen
20423,15103010,15103000,ISDN-Tel./TK-Anlage
20424,15103020,15103000,ISDN-Tel./TK-Anlage+div. Endgeräte
20425,15105000,15100000,Schnurlose Endgeräte
20426,15105010,15105000,Schnurlose Terminal-Adapter
20427,15200000,15000000,Telefax-Geräte
20428,15201000,15200000,Telefaxe
20429,15201010,15201000,Fax (Solo)
20430,15201020,15201000,Fax + Telefon
20431,15201030,15201000,Fax + Telefon + AB
20432,15300000,15000000,Anrufbeantworter
20433,15301000,15300000,Anrufbeantworter
20434,15301010,15301000,Digitale-Anrufbeantw.
20435,15301020,15301000,Analoge-Anrufbeantworter
20436,15301030,15301000,Telefonansagegeräte
20437,15301040,15301000,Telefon-Computer
20438,15500000,15000000,Mobile Kommunikation
20439,15501000,15500000,Mobil-Telefone
21493,15501010,15501000,Handys
21494,15501020,15501000,Smartphones
21495,15501030,15501000,Seniorenhandys
20440,15501035,15501000,E-Netz-Handys (GSM 1800 MHz)
20441,15501045,15501000,D-Netz-Handys (GSM 900 MHz)
20443,15501055,15501000,C-Netz-Handys (analog)
20444,15501060,15501000,TACS-Netz-Handys (Austria)
21189,15501070,15501000,Dual-/DECT-Handys (GSM)
21237,15502000,15500000,Vertrags- / Wertkarten-Endgeräte
21238,15502010,15502000,Vertrags-Endgeräte
21239,15502020,15502000,Wertkarten-Endgeräte
20445,15502800,15500000,Portable-Funkrufempfänger
20446,15502810,15502800,Pager
21613,15700000,15000000,Smart Wearables
21614,15701000,15700000,Smart Wearables
21615,15701010,15701000,Smartwatches
21616,15701020,15701000,Activity Tracker / Smartband
21617,15701030,15701000,Sport- / Outdoor-Uhren
20447,15900000,15000000,Zubehör Telekommunikation
20448,15901000,15900000,Festnetztelefone-Zubehör
20449,15901005,15901000,Zubehör schnurgebundene Telefone
20450,15901010,15901000,Zubehör schnurlose Telefone
20451,15901011,15901000,Ladeteile für schnurlose Telefone
20452,15901012,15901000,Akkus für schnurlose Telefone
20453,15901500,15900000,Telefonanlagen-Zubehör
20454,15901505,15901500,ISDN-Telefonanlagen-Zubehör
20455,15901510,15901500,Analog-Telefonanlagen-Zubehör
21487,15901515,15901500,IP-Telefonanlagen-Zubehör
20456,15901520,15901500,Türsprecheinrichtungen
20457,15901700,15900000,Tel./TK-Anlagen-Kombinationen-Zubehör
20458,15901705,15901700,ISDN-Tel./TK-Anlagen-Zubehör
20459,15901710,15901700,ISDN-Tel./TK-Anl.+Endgeräte-Zubehör
20460,15901800,15900000,Anschlußtechnik
20461,15901820,15901800,Anschlußdosen für TK-Anlagen
20462,15901825,15901800,Anschlußdosen für Telefone
20463,15901840,15901800,Adapter / Kabel / Stecker
20464,15901890,15901800,autom. Telefon-Netzwahlschalter
20465,15902000,15900000,Telefax-Zubehör
20466,15902010,15902000,Telefax-Zubehör
20467,15902500,15900000,Anrufbeantworter-Zubehör
20468,15902505,15902500,Anrufbeantworter-Zubehör
20469,15904000,15900000,Mobiltelefone-Zubehör
21240,15904005,15904000,Wertkarten/Bons
21158,15904010,15904000,Taschen
21159,15904020,15904000,Schutz-/Design-Covers
21849,15904023,15904000,Displayschutz für Mobiltelefone
21160,15904025,15904000,Portable Freisprecheinrichtungen
21161,15904030,15904000,Adapter / Kabel / Stecker
20471,15904040,15904000,Lade-/ Netzteile
20472,15904050,15904000,Akkus
21162,15904080,15904000,Ersatzantennen
20470,15904090,15904000,Sonstiges Mobiltelefon-Zubehör
21018,15905000,15900000,Autozubehör Mobilfunk
21163,15905010,15905000,Kfz-Freisprecheinrichtungen
21164,15905015,15905000,Kfz-Mobiltelefon-Halterung (aktiv)
21165,15905016,15905000,Kfz-Mobiltelefon-Halterung (passiv)
21019,15905020,15905000,Mobilfunk-Antennen
21020,15905025,15905000,Mobilfunk-/Radio-Antennen
21167,15905030,15905000,Kfz-Adapter / Kabel / Stecker
21168,15905090,15905000,Sonstiges Kfz-Mobilfunk-Zubehör
21705,15907000,15900000,Smart Wearables Zubehör
21706,15907010,15907000,Smartwatches-Zubehör
21707,15907020,15907000,Activity Tracker / Smartband-Zubehör
21708,15907030,15907000,Sport- / Outdoor-Uhren-Zubehör
21151,17000000,NULL,PC / MultiMedia
21122,17100000,17000000,Computer / Notebooks / Tablets
21123,17101000,17100000,stationäre Computer
21028,17101010,17101000,PCs / Workstations
21029,17101030,17101000,Server-Systeme
21030,17101050,17101000,Macintosh-Computer
21124,17102000,17100000,tragbare Computer
21292,17102015,17102000,"< 15"" Notebooks"
21293,17102017,17102000,"15"" Notebooks"
21447,17102018,17102000,"16"" Notebooks"
21294,17102020,17102000,"17"" Notebooks"
21295,17102022,17102000,"> 17"" Notebooks"
21486,17102025,17102000,Ultrabooks
21576,17102027,17102000,2 in 1 / Hybrid
21448,17102030,17102000,Tablet-PC / iPad
21449,17102035,17102000,E-Book Reader
21033,17102040,17102000,PDAs - Personal-Digital-Assistants
21034,17102050,17102000,Organizer
21125,17200000,17000000,Peripheriegeräte
21126,17201000,17200000,Monitore
21035,17201010,17201000,"15"" Monitore"
21036,17201020,17201000,"17"" Monitore"
21037,17201030,17201000,"19"" Monitore"
21038,17201040,17201000,"20"" Monitore"
21039,17201050,17201000,"21"" Monitore"
21040,17201060,17201000,"> 21"" Monitore"
21127,17202000,17200000,TFT-Displays
21041,17202010,17202000,"14"" TFT-Displays"
21042,17202020,17202000,"15"" TFT-Displays"
21218,17202023,17202000,"16"" TFT-Displays"
21219,17202025,17202000,"17"" TFT-Displays"
21043,17202030,17202000,"18"" TFT-Displays"
21220,17202035,17202000,"19"" TFT-Displays"
21044,17202040,17202000,"20"" TFT-Displays"
21199,17202050,17202000,"21"" TFT-Displays"
21296,17202065,17202000,"22"" TFT-Displays"
21297,17202070,17202000,"23"" TFT-Displays"
